frame    mol0    mol1
    0   6.732      NA
    1   6.781   1.656
    2   6.776   1.651
    3   6.767   2.335
    4   6.768   2.694
    5   6.771   2.687
    6   6.745   2.677
    7   6.746   2.674
    8   6.743   2.998
    9   6.746   3.535
   10   6.744   3.130
   11   6.804   3.134
   12   6.809   3.135
   13   6.733   2.832
   14   6.815   2.982
   15   6.751   3.123
   16   6.691   3.268
   17   6.631   3.130
   18   6.653   3.116
   19   6.672   3.393
   20   6.725   3.397
   21   6.777   3.113
   22   6.773   3.110
   23   6.715   3.114
   24   6.782   2.968
   25   6.678   3.108
   26   6.672   3.104
   27   6.747   3.106
   28   6.807   3.243
   29   6.764   3.383
   30   6.831   3.518
   31   6.824   3.509
   32   6.826   3.499
   33   6.829   3.501
   34   6.831   3.503
   35   6.878   3.622
   36   6.881   3.625
   37   6.799   3.621
   38   6.828   3.377
   39   6.878   3.509
   40   6.773   3.388
   41   6.745   3.114
   42   6.876   3.264
   43   6.907   3.120
   44   6.753   3.117
   45   6.772   3.645
   46   6.839   3.517
   47   7.045   3.637
   48   7.004   3.890
   49   7.033   3.651
   50   7.010   3.635
   51   6.973   3.879
   52   6.988   3.873
   53   6.958   3.754
   54   6.959   3.514
   55   6.960   3.879
   56   6.955   3.377
   57   6.958   3.507
   58   6.897   3.627
   59   6.865   3.629
   60   6.747   3.983
   61   6.747   3.634
   62   6.808   3.742
   63   6.810   3.484
   64   6.711   3.729
   65   6.932   3.479
   66   6.956   3.477
   67   6.956   3.469
   68   7.020   3.475
   69   6.960   3.834
   70   6.923   3.481
   71   6.854   3.354
   72   6.851   3.492
   73   6.978   3.494
   74   7.051   3.488
   75   6.967   3.622
   76   6.971   3.360
   77   7.035   3.478
   78   7.070   3.486
   79   6.953   3.730
   80   6.947   3.731
   81   6.911   3.845
   82   6.971   3.852
   83   7.005   3.964
   84   7.022   3.845
   85   7.045   3.727
   86   7.072   3.840
   87   6.995   3.845
   88   6.984   4.043
   89   7.052   4.063
   90   6.958   4.064
   91   6.961   3.946
   92   6.894   3.809
   93   6.904   3.925
   94   6.953   3.811
   95   6.999   3.695
   96   6.882   3.924
   97   6.940   3.930
   98   6.852   4.205
   99   6.861   4.115
  100   6.860   4.223
  101   6.850   4.224
  102   6.859   3.910
  103   6.854   3.676
  104   6.931   4.005
  105   6.938   4.227
  106   6.808   4.126
  107   6.808   4.019
  108   6.877   3.799
  109   6.900   4.013
  110   6.811   4.121
  111   6.904   4.131
  112   6.852   4.142
  113   6.917   4.035
  114   6.958   3.928
  115   7.003   4.039
  116   7.100   4.038
  117   7.095   4.221
  118   7.024   3.922
  119   6.986   4.023
  120   7.063   4.108
  121   7.120   4.110
  122   7.127   4.219
  123   7.067   4.212
  124   7.071   3.990
  125   7.071   4.281
  126   7.049   4.207
  127   7.047   4.200
  128   7.073   4.405
  129   7.003   4.310
  130   7.099   4.387
  131   7.104   4.080
  132   7.103   3.880
  133   7.165   3.778
  134   7.163   3.767
  135   7.073   3.663
  136   7.127   4.272
  137   7.027   4.378
  138   7.088   4.189
  139   7.142   4.374
  140   7.042   4.650
  141   7.021   4.746
  142   7.078   4.660
  143   7.065   4.550
  144   7.064   4.469
  145   7.168   4.738
  146   7.096   4.535
  147   7.135   4.535
  148   6.957   4.363
  149   6.930   4.470
  150   6.970   4.371
  151   6.943   4.260
  152   7.063   4.350
  153   7.024   4.349
  154   6.926   4.249
  155   6.925   4.242
  156   6.959   4.351
  157   6.991   4.251
  158   6.895   4.350
  159   6.928   4.453
  160   7.014   4.607
  161   6.877   4.590
  162   6.929   4.599
  163   6.874   4.399
  164   6.985   4.219
  165   6.897   4.416
  166   6.838   4.497
  167   6.883   4.308
  168   6.763   4.511
  169   6.764   4.326
  170   6.913   4.257
  171   6.945   4.555
  172   6.890   4.553
  173   6.880   4.360
  174   6.819   4.636
  175   6.908   4.455
  176   6.876   4.655
  177   6.777   4.628
  178   6.830   4.360
  179   6.778   4.642
  180   6.877   4.546
  181   6.884   4.636
  182   6.872   4.539
  183   6.939   4.612
  184   6.935   4.618
  185   6.886   4.596
  186   7.025   4.848
  187   7.027   4.858
  188   7.051   4.777
  189   7.087   4.678
  190   6.949   4.843
  191   7.099   4.933
  192   7.097   4.859
  193   7.083   4.854
  194   7.147   4.760
  195   7.082   4.772
  196   7.058   4.680
  197   7.108   4.678
  198   7.032   4.773
  199   7.046   4.868
  200   7.036   4.788
  201   7.060   4.876
  202   7.089   4.870
  203   7.052   4.869
  204   7.110   4.875
  205   7.028   4.871
  206   7.026   4.856
  207   6.992   4.860
  208   7.000   5.032
  209   6.943   5.031
  210   6.983   5.210
  211   7.034   5.050
  212   7.031   5.117
  213   6.962   5.113
  214   6.966   5.109
  215   6.999   5.182
  216   6.910   5.196
  217   6.969   5.107
  218   6.917   5.017
  219   6.914   5.099
  220   7.022   5.194
  221   7.018   5.196
  222   7.066   5.123
  223   7.049   5.125
  224   6.971   5.036
  225   6.980   5.026
  226   7.024   5.041
  227   6.982   5.098
  228   7.132   5.089
  229   7.136   5.013
  230   7.003   5.086
  231   6.928   5.166
  232   6.973   5.088
  233   6.974   5.022
  234   6.953   5.188
  235   6.947   5.098
  236   6.947   5.173
  237   7.014   5.013
  238   7.069   5.106
  239   7.068   5.097
  240   7.134   5.191
  241   7.225   5.431
  242   7.207   5.354
  243   7.225   5.283
  244   7.146   5.120
  245   7.065   5.197
  246   7.135   5.173
  247   7.099   5.227
  248   7.145   5.021
  249   7.123   5.086
  250   7.172   5.151
  251   7.170   5.285
  252   7.210   5.454
  253   7.189   5.458
  254   7.277   5.457
  255   7.131   5.375
  256   7.048   5.368
  257   7.046   5.284
  258   7.132   5.293
  259   7.172   5.215
  260   7.057   5.117
  261   7.004   5.280
  262   7.077   5.276
  263   7.085   5.184
  264   7.196   5.189
  265   7.186   5.099
  266   7.179   5.181
  267   7.216   5.198
  268   7.250   5.196
  269   7.266   5.198
  270   7.211   5.196
