 Block length         Mean              Average
           1  -84.305947474810623        7.4784964989040331E-002
           2  -84.305947474811049        9.9400697351221645E-002
           4  -84.305204627645338       0.13313392887774936     
           8  -84.305343896512539       0.18020799697424933     
          16  -84.302931997632044       0.24494727986254775     
          32  -84.298119758491666       0.33310625199006522     
          64  -84.288541257018210       0.45021738801695010     
         128  -84.269566124352380       0.58715099723112341     
         256  -84.232327426495630       0.73058116385773109     
         512  -84.278149385537262       0.80970892187920918     
        1024  -84.333557376907862       0.94120990207043964     
        2048  -84.343558582261181       0.74736408896855855     
        4096  -84.594048557879518       0.66418970274172484     
        8192  -84.907161027402395       0.93933740856925851     
