 Block length         Mean              Average
           1   261.60563835622895       0.26523141176601783     
           2   261.60563835622651       0.27566025106559400     
           4   261.60322389987869       0.29539323853440619     
           8   261.60947231927685       0.32375585646778693     
          16   261.62479283562220       0.37328841537147389     
          32   261.65536044730919       0.44345583883882622     
          64   261.71620362343685       0.56246103085681298     
         128   261.83673472551197       0.71116506723834971     
         256   262.07327701333554       0.93349581517555080     
         512   261.62685418432955       0.87576849703437454     
        1024   261.59200273286149       0.93929163013528172     
        2048   261.55596044677645       0.75490489708782560     
        4096   261.22510556983474       0.85712679207228348     
        8192   260.81153697365698        1.2407057885332333     
