 Block length         Mean              Sigma
           1   4.7803925079145628        8.8055355890438280E-002
           2   4.7803925079145726       0.12459086929422884     
           4   4.7906553318202691       0.17661560210659888     
           8   4.7905808803862611       0.25025477708852423     
          16   4.7904238729038013       0.35527395498943398     
          32   4.7901805908477835       0.50626806371583921     
          64   4.9415899987209864       0.73636477336038109     
         128   4.9273560022436067        1.0635086727638745     
         256   4.9056096836686400        1.5724345775626980     
         512   4.8623945297438471        2.3877059297348486     
