 Block length         Mean              Average
           1  0.19373100238943594        9.5374128553613990E-004
           2  0.19373100238943605        1.1496750614831764E-003
           4  0.19373178610541431        1.3721676384683605E-003
           8  0.19371643091585061        1.5904643322454425E-003
          16  0.19371486900099186        1.7276132606059429E-003
          32  0.19372236795143957        1.9844080677096144E-003
          64  0.19358880398868522        2.2710369145689411E-003
         128  0.19398257330066646        2.3442705234299334E-003
         256  0.19395001353230823        2.4507911613715306E-003
         512  0.19377532739670461        1.2906399175315192E-003
