 Block length         Mean              Average
           1   1.8600862880233711        1.3594013294894707E-003
           2   1.8600862880233697        1.3603064640643674E-003
           4   1.8600825216397945        1.3425469974995717E-003
           8   1.8600797428518328        1.3517323896552872E-003
          16   1.8600535883463962        1.3455766080355865E-003
          32   1.8600014046766120        1.3908859882771304E-003
          64   1.8598975359071317        1.4529992657788197E-003
         128   1.8596917705599931        1.4815737350623989E-003
         256   1.8592879560662385        1.6805327318445628E-003
         512   1.8599165022122630        1.5579337584050708E-003
        1024   1.8600249239382194        1.6577846783999849E-003
        2048   1.8601373039427436        1.1588771511279359E-003
        4096   1.8604770699658040        1.1212858768780646E-003
        8192   1.8609017774946373        1.2741225864766337E-003
